dataset,model,variant,variant_label,center,macro_auroc,macro_auprc,source,note
PN2021 clean,ECGFounder,vae_augmix,VAE + AugMix,chapman_shaoxing,0.9260872513274849,0.5848525418152,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
PN2021 clean,ECGFounder,vae_augmix,VAE + AugMix,cpsc_2018,0.8889537756748277,0.6749820386423768,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
PN2021 clean,ECGFounder,vae_augmix,VAE + AugMix,georgia,0.881707682796623,0.7214248575922292,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
PN2021 clean,ResNet1D-Wang,direct,Direct fine-tune,ningbo,0.8802004279822231,0.5052694846014094,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_direct_ft_benchmark_resnet1d_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,ResNet1D-Wang,direct,Direct fine-tune,chapman_shaoxing,0.8779312863313266,0.45012105363543126,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_direct_ft_benchmark_resnet1d_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,ResNet1D-Wang,direct,Direct fine-tune,cpsc_2018,0.8534699457815836,0.5894170491180504,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_direct_ft_benchmark_resnet1d_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,ResNet1D-Wang,direct,Direct fine-tune,georgia,0.8151502398639628,0.5896151741037488,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_direct_ft_benchmark_resnet1d_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,ResNet1D-Wang,vae_noaug,VAE-only noAug,ningbo,0.8802004279822231,0.5052694846014094,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean,ResNet1D-Wang,vae_noaug,VAE-only noAug,chapman_shaoxing,0.8868757049416587,0.46617484738351794,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean,ResNet1D-Wang,vae_noaug,VAE-only noAug,cpsc_2018,0.8743609424946589,0.6238636903375632,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
