run_id,model,variant,center,macro_auroc,macro_auprc,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,n_records,n_excluded_ref,effective_n,n_all_zero_labels,n_nonzero_labels,mapping_version,mapping_hash,eval_json
mainline_v7_k500_4gpu_20260605,ResNet1D-Wang,vae_lhat,ningbo,0.8802004279822231,0.5052694846014094,0.9000087543666708,0.6745566029126925,34405,500,34405,15662,18743,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,ResNet1D-Wang,vae_lhat,chapman_shaoxing,0.8825652839752172,0.46874275143302435,0.8996141605320798,0.6411024288003582,9747,500,9747,4425,5322,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,ResNet1D-Wang,vae_lhat,cpsc_2018,0.8742560149599973,0.6237744472208353,0.9294095187200947,0.8346460868382076,6377,500,6377,2131,4246,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,ResNet1D-Wang,vae_lhat,georgia,0.8248937658229747,0.6151976738040075,0.8351282554458763,0.6955149163440615,9844,500,9844,1631,8213,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,Inception1D,direct,ningbo,0.885342477034226,0.5293078075791946,0.9067503006535673,0.70035293367337,34405,500,34405,15662,18743,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_direct_ft_benchmark_inception1d_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,Inception1D,direct,chapman_shaoxing,0.8946749170486374,0.48971875097701834,0.9151611703239,0.6589690589362526,9747,500,9747,4425,5322,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_direct_ft_benchmark_inception1d_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,Inception1D,direct,cpsc_2018,0.8603836658831518,0.5987976942295244,0.9168080267733135,0.7886232231547763,6377,500,6377,2131,4246,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_direct_ft_benchmark_inception1d_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,Inception1D,direct,georgia,0.8264118878642536,0.610233807262984,0.8347413243081705,0.6886637998994655,9844,500,9844,1631,8213,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_direct_ft_benchmark_inception1d_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,Inception1D,vae_lhat,ningbo,0.885342477034226,0.5293078075791946,0.9067503006535673,0.70035293367337,34405,500,34405,15662,18743,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,Inception1D,vae_lhat,chapman_shaoxing,0.8946749170486374,0.48971875097701834,0.9151611703239,0.6589690589362526,9747,500,9747,4425,5322,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_inception1d_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json
