dataset,model,variant,variant_label,center,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,source,note
PN2021 clean drop-all-zero,FCN-Wang,direct,直接微调,cpsc_2018,0.8884346477554711,0.7288299801403655,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_direct_ft_benchmark_fcn_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean drop-all-zero,FCN-Wang,direct,直接微调,georgia,0.819946232120606,0.6715701381487372,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_direct_ft_benchmark_fcn_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean drop-all-zero,FCN-Wang,vae_noaug,VAE-only,ningbo,0.8945717605866281,0.6711559931353297,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean drop-all-zero,FCN-Wang,vae_noaug,VAE-only,chapman_shaoxing,0.8963052894940555,0.6093710864993074,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean drop-all-zero,FCN-Wang,vae_noaug,VAE-only,cpsc_2018,0.9114911661996506,0.791902105837582,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean drop-all-zero,FCN-Wang,vae_noaug,VAE-only,georgia,0.8199707928501208,0.6807177651686354,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_noaug_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p3_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_noaugmix_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,"new noAug fill, seed20260531"
PN2021 clean drop-all-zero,FCN-Wang,vae_augmix,VAE+AugMix,ningbo,0.8945717605866281,0.6711559931353297,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean drop-all-zero,FCN-Wang,vae_augmix,VAE+AugMix,chapman_shaoxing,0.8963052894940555,0.6093710864993074,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean drop-all-zero,FCN-Wang,vae_augmix,VAE+AugMix,cpsc_2018,0.9114761151182306,0.7911959925371775,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean drop-all-zero,FCN-Wang,vae_augmix,VAE+AugMix,georgia,0.8216548596234732,0.6822475989894695,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
