dataset,model,variant,variant_label,center,macro_auroc,macro_auprc,source_status
PN2021 clean,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,chapman_shaoxing,0.8742033920316594,0.4266584232531681,new_effnet_source_eval_20260605
PN2021 clean,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,cpsc_2018,0.8114678812262968,0.558602923207618,new_effnet_source_eval_20260605
PN2021 clean,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,georgia,0.8152375594144159,0.5918713000865934,new_effnet_source_eval_20260605
PN2021-C,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,ningbo,0.8586774130669135,0.4606681396367577,new_effnet_source_pn2021c_eval_20260605
PN2021-C,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,chapman_shaoxing,0.8627333778806141,0.4110215625451692,new_effnet_source_pn2021c_eval_20260605
PN2021-C,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,cpsc_2018,0.8053344620235612,0.5472797376061883,new_effnet_source_pn2021c_eval_20260605
PN2021-C,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,georgia,0.806130474078413,0.5800681461228445,new_effnet_source_pn2021c_eval_20260605
PN2021 clean,ECGFounder,source_ptbxl,PTB-XL-only source,ningbo,0.8795956142463911,0.4981245303442174,existing_ecgfounder_source_eval
PN2021-C,ECGFounder,source_ptbxl,PTB-XL-only source,ningbo,0.8695590119001751,0.4795975280163452,existing_ecgfounder_source_pn2021c_eval
PN2021 clean,ECGFounder,source_ptbxl,PTB-XL-only source,chapman_shaoxing,0.8854610226713165,0.4607551689212688,existing_ecgfounder_source_eval
PN2021-C,ECGFounder,source_ptbxl,PTB-XL-only source,chapman_shaoxing,0.8777865355033811,0.4449083754038648,existing_ecgfounder_source_pn2021c_eval
PN2021 clean,ECGFounder,source_ptbxl,PTB-XL-only source,cpsc_2018,0.8063863992955943,0.5537222764025213,existing_ecgfounder_source_eval
PN2021-C,ECGFounder,source_ptbxl,PTB-XL-only source,cpsc_2018,0.8029395377481614,0.5358599815974922,existing_ecgfounder_source_pn2021c_eval
PN2021 clean,ECGFounder,source_ptbxl,PTB-XL-only source,georgia,0.8470276261066693,0.6504424625128427,existing_ecgfounder_source_eval
PN2021-C,ECGFounder,source_ptbxl,PTB-XL-only source,georgia,0.8402457413307534,0.6373517212040425,existing_ecgfounder_source_pn2021c_eval
