variant,center,corruption,macro_auroc,macro_auprc,auroc_drop_vs_clean,auprc_drop_vs_clean,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,clean_macro_auroc,clean_macro_auprc,n_records,n_all_zero_labels,source_json
vae_noaug,ningbo,baseline_shift,0.9131573154449839,0.5945652443693556,0.00478072955751363,0.006223599814925818,0.9261750456025947,0.7236940549026544,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,ningbo,random_leads_masking,0.8200756917346652,0.42407312392672064,0.09786235326783232,0.17671572025756083,0.8429865711174657,0.5983950347103238,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,chapman_shaoxing,powerline_noise,0.734843260979744,0.35913508303140174,0.19124399034774098,0.22571745878379823,0.7461814471518894,0.49499817772251353,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,chapman_shaoxing,emg_noise,0.8041963826990003,0.38258092001422195,0.12189086862848464,0.20227162180097802,0.8294516872770146,0.5295958081735248,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,chapman_shaoxing,baseline_wander,0.8886010996188543,0.507724094119318,0.03748615170863068,0.07712844769588201,0.907157040577306,0.6373076341592174,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,chapman_shaoxing,baseline_shift,0.9204847896811087,0.569465450886227,0.005602461646376233,0.015387090928972946,0.9290455315616104,0.666812146992125,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,chapman_shaoxing,random_leads_masking,0.836290631805564,0.4091514499045988,0.08979661952192097,0.17570109191060118,0.8587478045494199,0.5627666681722321,0.9260872513274849,0.5848525418152,9747,4425,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,cpsc_2018,powerline_noise,0.7426322739932845,0.47628697981921736,0.14437331528046293,0.2051731957453517,0.7698771579500306,0.6150806679357764,0.8870055892737474,0.6814601755645691,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,cpsc_2018,emg_noise,0.7613861408146513,0.47615873260300895,0.12561944845909612,0.2053014429615601,0.7961240211184472,0.6045375488385859,0.8870055892737474,0.6814601755645691,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,cpsc_2018,baseline_wander,0.8755700035989399,0.6265264409045603,0.011435585674807514,0.054933734660008726,0.915441218096697,0.7866323613600258,0.8870055892737474,0.6814601755645691,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,cpsc_2018,baseline_shift,0.8905041992598098,0.6787849547784743,-0.0034986099860624398,0.002675220786094723,0.9326788334010775,0.8319542744898726,0.8870055892737474,0.6814601755645691,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,cpsc_2018,random_leads_masking,0.8337254106355948,0.5552942417795179,0.0532801786381526,0.12616593378505114,0.8741314623893164,0.7164664317757344,0.8870055892737474,0.6814601755645691,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,georgia,powerline_noise,0.6936374571878445,0.4938485619560553,0.18780004591140642,0.22694689883561447,0.7009246044134002,0.5655274760650535,0.881437503099251,0.7207954607916698,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,georgia,emg_noise,0.7268588375110007,0.49026698259576346,0.15457866558825029,0.23052847819590633,0.741370486342125,0.5701057982916561,0.881437503099251,0.7207954607916698,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,georgia,baseline_wander,0.8418385124847404,0.6583460719823835,0.039598990614510554,0.0624493888092863,0.8533211680421315,0.7295881556865134,0.881437503099251,0.7207954607916698,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,georgia,baseline_shift,0.8755070037874273,0.7109687563383325,0.005930499311823656,0.009826704453337332,0.8830642187337299,0.7723206077041003,0.881437503099251,0.7207954607916698,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,georgia,random_leads_masking,0.7968948516508041,0.5793752455829309,0.08454265144844686,0.14142021520873893,0.805249751355749,0.6461794260062346,0.881437503099251,0.7207954607916698,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,ningbo,powerline_noise,0.7334638076944249,0.37099672077335766,0.18447423730807266,0.2297921234109238,0.7498953991682417,0.5332821358584816,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,ningbo,emg_noise,0.7746090828107487,0.38918216377602716,0.14332896219174884,0.2116066804082543,0.7993212358862329,0.5542011580028003,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_augmix,ningbo,baseline_wander,0.8733026630347183,0.5115161678350477,0.044635381967779275,0.08927267634923375,0.894539831763519,0.6695019134489513,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_augmix/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
